"","employees","salaries.2014","salaries.2015","raise","got.raise"
"60","Employee 60",159.921860159375,237.139149405994,77.2172892466187,TRUE
"61","Employee 61",151.365272561088,177.831412479281,26.4661399181932,TRUE
"62","Employee 62",133.06168934796,229.255319526419,96.193630178459,TRUE
"63","Employee 63",193.037889525294,246.532009472139,53.4941199468449,TRUE
"64","Employee 64",142.374503309838,234.579347865656,92.2048445558175,TRUE
"65","Employee 65",123.996311798692,161.278250091709,37.2819382930174,TRUE
"66","Employee 66",173.180741840042,234.991088253446,61.8103464134037,TRUE
"67","Employee 67",144.338905648328,202.136927959509,57.7980223111808,TRUE
"68","Employee 68",110.395247419365,196.178579283878,85.7833318645135,TRUE
"69","Employee 69",197.043709573336,161.978682177141,-35.0650273961946,FALSE
"70","Employee 70",168.08271384798,201.364759518765,33.282045670785,TRUE
"71","Employee 71",181.771613657475,237.411272944883,55.639659287408,TRUE
"72","Employee 72",120.288039278239,190.798340621404,70.5103013431653,TRUE
"73","Employee 73",192.309757485054,152.484682085924,-39.8250753991306,FALSE
"74","Employee 74",148.9086775342,249.281697627157,100.373020092957,TRUE
"75","Employee 75",104.611776792444,217.926039919257,113.314263126813,TRUE
"76","Employee 76",106.519577419385,246.181779471226,139.662202051841,TRUE
"77","Employee 77",125.440841610543,153.382628015243,27.9417864046991,TRUE
"78","Employee 78",167.615367495455,214.969505253248,47.3541377577931,TRUE
"79","Employee 79",148.732090205885,224.284681561403,75.5525913555175,TRUE
"80","Employee 80",170.907507091761,246.484883921221,75.5773768294603,TRUE
"81","Employee 81",185.810066573322,245.904111559503,60.094044986181,TRUE
"82","Employee 82",170.118740852922,183.839636621997,13.7208957690746,TRUE
"83","Employee 83",112.583672557957,181.320742005482,68.7370694475248,TRUE
"84","Employee 84",132.183659099974,188.494394137524,56.3107350375503,TRUE
"85","Employee 85",190.849636984058,229.75184135139,38.9022043673322,TRUE
"86","Employee 86",125.54277186282,219.37879472971,93.8360228668898,TRUE
"87","Employee 87",125.907310307957,232.317040348426,106.409730040468,TRUE
"88","Employee 88",152.84781283699,210.739211924374,57.8913990873843,TRUE
"89","Employee 89",129.189978353679,219.687733356841,90.4977550031617,TRUE
"90","Employee 90",138.519876659848,162.190360832028,23.6704841721803,TRUE
"91","Employee 91",122.069955710322,159.282094612718,37.212138902396,TRUE
"92","Employee 92",118.697524885647,190.741605777293,72.0440808916464,TRUE
"93","Employee 93",175.233346689492,194.659553375095,19.4262066856027,TRUE
"94","Employee 94",142.429808434099,168.958117207512,26.5283087734133,TRUE
"95","Employee 95",160.560076334514,239.109102403745,78.5490260692313,TRUE
"96","Employee 96",147.445183573291,198.873530700803,51.4283471275121,TRUE
"97","Employee 97",169.02314373292,219.841979723424,50.8188359905034,TRUE
"98","Employee 98",108.763400884345,218.362652673386,109.599251789041,TRUE
"99","Employee 99",149.300581356511,237.015383667313,87.714802310802,TRUE
"100","Employee 100",175.317409238778,184.43001920823,9.11260996945202,TRUE
